id,user,created_at,text,retweet_count
822461638087307265,CitronResearch,2017-01-20 15:11:49,b'Wall street has found a company that Donald Trump would love to beat up on - $TDG https://t.co/aov3RMUdQu via @businessinsider',11
822461252291072000,CitronResearch,2017-01-20 15:10:17,b'$TDG Is Transidgm the Valeant of the Aerospace Industry?  https://t.co/dVIjVPakNf',12
822455657806774272,CitronResearch,2017-01-20 14:48:03,b'Citron publishes the first timely story of the Trump Presidency.  Transdigm $TDG has a target on its back  We expose the gouging of the USA',24
821397243106193412,CitronResearch,2017-01-17 16:42:18,b'Citron exposes the lawsuits that will drive Lannett (LCI) to 0.  Price gouging and leverage at its worst in pharma.  https://t.co/Fn9MwJO3Xn',30
817071165088874497,CitronResearch,2017-01-05 18:12:00,b'Watching the Senate hearings on Cybersecurity this morning leads Citron to believe that $PANW might be the 2017 mar\\u2026 https://t.co/5k8ToGuDrX',69
814118491607285760,CitronResearch,2016-12-28 14:39:08,"b'Citron readers know we have long been fans of $NVDA,but now the mkt is disregarding headwinds. In 2017 we will see\\u2026 https://t.co/dNLNiKab57'",190
813544934087147521,CitronResearch,2016-12-27 00:40:01,"b'""SMC Corp is the Enron of Japan.  Citron\'s research backs up the Wells Research Report as SMC needs to be investigated for Fraud'",30
813544647372873728,CitronResearch,2016-12-27 00:38:53,b'SMC\\u306f\\u65e5\\u672c\\u7248\\u30a8\\u30f3\\u30ed\\u30f3\\u3060\\u3002\\u8a87\\u5f35\\u3055\\u308c\\u305f\\u8ca1\\u52d9\\u6570\\u5024\\u3092\\u8ab0\\u3082\\u548e\\u3081\\u306a\\u3044\\u3053\\u3068\\u306f\\u5927\\u304d\\u306a\\u9a5a\\u304d\\u3067\\u3042\\u308b\\u3002\\u6211\\u3005\\u306e\\u8abf\\u67fb\\u306f\\u3001SMC\\u306f\\u8a50\\u6b3a\\u306e\\u7591\\u3044\\u3067\\u8abf\\u67fb\\u3055\\u308c\\u308b\\u3079\\u304d\\u3067\\u3042\\u308b\\u3068\\u3059\\u308b\\u30a6\\u30a7\\u30eb\\u30fb\\u30a4\\u30f3\\u30d9\\u30b9\\u30c8\\u30e1\\u30f3\\u30c8\\u30fb\\u30ea\\u30b5\\u30fc\\u30c1\\u306e\\u5831\\u544a\\u3092\\u652f\\u6301\\u3059\\u308b\\u3002',43
809439150487154688,CitronResearch,2016-12-15 16:45:06,"b'One question nobody answers re $AVXS: After Nusinernen approval, how can AVXS enroll even one patient for pivotal study?'",11
809439116991467520,CitronResearch,2016-12-15 16:44:58,b'$AVXS  Hot Off Press No one can tell the story better.  https://t.co/WVmofYSZ1i  Nusinersen is real and that is problem for $AVXS -$9 tgt',11
809126757815025664,CitronResearch,2016-12-14 20:03:46,b'$AVXS next biotech blowup  12 month target $9.  For the full story go to https://t.co/Fn9MwJO3Xn',52
808897887660888064,CitronResearch,2016-12-14 04:54:19,b'Citron Exposes more lies from Cyberdyne \\u30b7\\u30c8\\u30ed\\u30f3\\u306f\\u3001\\u30b5\\u30a4\\u30d0\\u30fc\\u30c0\\u30a4\\u30f3\\u306e\\u3055\\u3089\\u306a\\u308b\\u5618\\u3068\\u6b3a\\u779e\\u3092\\u3042\\u3070\\u304f\\u3002https://t.co/Fn9MwK5FlX',8
806922528455159808,CitronResearch,2016-12-08 18:04:57,b'When @realdonaldtrump tells $ESRX \\u201c you\\u2019re fired\\u201d heads will roll.   The  culprit behind pharmaceutical price gouging.  Price Target $45',39
806921551278837760,CitronResearch,2016-12-08 18:01:04,b'Watch Andrew Left from Citron on @cnbcfastmoney today at 5:30 EST to explain why $ESRX is on its way to $45',20
806921396391530496,CitronResearch,2016-12-08 18:00:27,b'$ESRX is Philidor of the pharma industry. @therealdonaldtrump promises to fix drug pricing? Two words: EXPRESS SCRIPTS',40
798953947100626944,CitronResearch,2016-11-16 18:20:39,b'Andrew Left on Bloomberg TV 2:30 EST to discuss $MNK and the recent Medicare Dashboard revelation.',19
798928262835511296,CitronResearch,2016-11-16 16:38:35,b'$MNK exposed by Medicare.  CEO LYING to Wall Street.  Acthar has become most expensive drug per treatment for Medicare.  Big problems ahead',40
792080134270365696,CitronResearch,2016-10-28 19:06:34,b'Waiting Claire McCaskill or $ESRX to rat on $MNK.  At 4 to 1 leverage $MNK will be a 0 as soon as they go the knock on the door. #actharscam',12
783828251055497216,CitronResearch,2016-10-06 00:36:32,b'Citron releases smoking gun on Cyberdyne (7779:TK) Target 300\\xa5  \\u30b7\\u30c8\\u30ed\\u30f3\\u30ea\\u30b5\\u30fc\\u30c1\\u304c\\u30b5\\u30a4\\u30d0\\u30fc\\u30c0\\u30a4\\u30f3\\u682a\\u5f0f\\u4f1a\\u793e\\u306b\\u5bfe\\u3057\\u3066\\u52d5\\u304b\\u306c\\u8a3c\\u62e0\\u3092\\u9732\\u308f\\u306b\\u3059\\u308b\\u3002\\u7d76\\u5bfe\\u7684\\u306b\\u8aad\\u307e\\u306a\\u3044\\u3068\\u3044\\u3051\\u306a\\u3044\\u8a18\\u4e8b\\u3067\\u3059\\u3002 \\u306e\\u72d9\\u3044\\u682a\\u4fa1\\u306f\\uffe5\\uff13\\uff10\\uff10\\u3067\\u3059\\u3002',34
768967405800349696,CitronResearch,2016-08-26 00:24:50,b'\\u4f1a \\u793e \\u540d CYBERDYNE\\u682a\\u5f0f\\u4f1a\\u793e  300\\xa5   \\u67da\\u5b50\\u306f\\u3001\\u8abf\\u67fb\\u3092\\u6c42\\u3081\\u3066\\nhttps://t.co/YqjHUa4HFH',19
768967058725797888,CitronResearch,2016-08-26 00:23:28,b'Citron Research Calls for Investigation Into Cyberdyne 7779 Tokyo\\n for misleading statements  Target 300\\xa5 https://t.co/YqjHUa4HFH',22
768868689479278592,CitronResearch,2016-08-25 17:52:35,"b""McCaskill  If you don't like Mylan marketing Epipen to elderly better if they threw in a free chickenparm like $MNK https://t.co/KxDkwEKA3H""",13
768868361321062400,CitronResearch,2016-08-25 17:51:16,"b'@clairecmc Senator McCaskill  If you forgot who Mallinckrodt is, they are the pharmaceutical company that gave you $$$ to you in 2016'",4
768868080378187776,CitronResearch,2016-08-25 17:50:09,"b'@clairecmc Sen Claire McCaskill  Before you comment on Mylan , maybe you Should look in your backyard at $MNK https://t.co/xgl7gXrkk3'",3
766656741312311296,CitronResearch,2016-08-19 15:23:05,b'Much credit to Credit Suisse for lowering $ADS price tgt this morning to $160.  Nice to see thoughtful sell side research',9
766650875519471616,CitronResearch,2016-08-19 14:59:47,b'LOL... Credit Suisse...showing our age',0
766650458765074432,CitronResearch,2016-08-19 14:58:07,b'Citron exposes $ADS for who they REALLY are.  CSFB got ball rolling.  tgt $100  https://t.co/RL3GQgd05g . Gotta love the shopping cart trick',27
765359724460068864,CitronResearch,2016-08-16 01:29:12,b'Citron Research exposes the dirty secrets of Cyberdyne (TYO:7779) most ridiculous priced stock in the WORLD.  https://t.co/Fn9MwJO3Xn',76
753965045009162240,CitronResearch,2016-07-15 14:50:49,b'$FB  $320 billion being disrupted fast.  Engagement loss has just started.  #disruption how fast do things change. https://t.co/FrbWBks7OJ',1711
753248236526194688,CitronResearch,2016-07-13 15:22:28,b'Market starting to react that $FB could be the ultimate Pokemon loser.  Vulnerability of social media.  #thingschangefast.',50
742394434738737152,CitronResearch,2016-06-13 16:33:20,b'Citron will save all $FB comment for another day.  Rather the focus of investors/humans to be on the Orlando tragedy and not mkt valuations.',21
740953721316610049,CitronResearch,2016-06-09 17:08:28,b'$TLRD is showing that it is the stock version of Pantone 448C.  Bankruptcy in the next 12 months.  Nothing to save here.  DEBT DEBT DEBT',30
738412723231281152,CitronResearch,2016-06-02 16:51:26,b'$CC is going to 0 BANKRUPT  Toxic from the balance sheet to the courtroom.  Citron releases its most important report sincs $VRX',73
732632091720998913,CitronResearch,2016-05-17 18:01:16,b'So $MNK is not going to raise Acthar higher than $36k and they will never lower prices.  Where is @clairecmc ??? https://t.co/WFpmgaVgaY',9
732625928929452033,CitronResearch,2016-05-17 17:36:47,b'Citron on BBTV at 3:40 EST to discuss the$1mil challenge to $MNK.  $MNK is scamming the gov and I dare them to sue https://t.co/SJIQneNjJL',27
732612920211705856,CitronResearch,2016-05-17 16:45:06,b'Andrew Left of Citron on CNBC power lunch today with a challenge for $mnk. Putting our money where our mouth is',1
732600712937410561,CitronResearch,2016-05-17 15:56:35,b'Andrew Left to appear on CNBC Fast Money Halftime in half hour with a real challenge to $MNK',19
731168394326593538,CitronResearch,2016-05-13 17:05:04,b'Of all retail names $TLRD seems to be the obvious 0.  We warned investors about GPS at 28 this is MUCH worse https://t.co/X0ZjqLnpQ2',59
720285599131783168,CitronResearch,2016-04-13 16:20:43,b'$MBLY Citron lowers to $11.  Insiders know it Goldman knows it and now you know it  https://t.co/RL3GQgd05g',50
717683484849016832,CitronResearch,2016-04-06 12:00:51,b'Andrew Left from Citron on Bloomberg TV in studios this morning - Bloomberg Go.  9:00 am EST',12
710897989611487232,CitronResearch,2016-03-18 18:37:43,"b'Clarification: Citron does not recommend short $MNK at $54 for short-term.  Wait for fundamentals to ""kick in"" and guide lower -like $VRX'",44
709811638254178304,CitronResearch,2016-03-15 18:40:56,b'Mkt. is starting to realize that $MNK equal risk to $VRX. Andrew Left of @Citron on CNBC 5:30 to explain risks of the $MNK platform',49
707971464683622401,CitronResearch,2016-03-10 16:48:45,b'In our most comprehensive work since $VRX Citron exposes the dirty secrets of $JCOM  A Must Read.   $27 tgt.   https://t.co/RL3GQgd05g',75
704749591627849728,CitronResearch,2016-03-01 19:26:10,b'Citron shorting $TSLA  Supply AND demand problems should take down to $100 by years end.  News flow all around does not look good for stock',246
702547807761096704,CitronResearch,2016-02-24 17:37:04,"b""Citron Research's Andrew Left on Bloomberg TV today at 3:30 EST to discuss the state of activist short selling (and maybe a few ideas)""",25
700392730413764608,CitronResearch,2016-02-18 18:53:34,b'$UDF - Hello FBI  https://t.co/pnaOjtpJhO  Citron called when stock was $14 -2 mos ago https://t.co/EFqdIj5yFj and https://t.co/DQI35YWF0R',26
696703926821736450,CitronResearch,2016-02-08 14:35:34,b'Andrew Left from Citron Research on Bloomberg TV at 12:10 EST to discuss why $W Wayfair will trade under $10 this year',26
695679934950305792,CitronResearch,2016-02-05 18:46:36,b'new day...what to sell now?  $W Wayfair still the worst biz model on the internet.  It could go away and no one would care.  Tgt price $5',36
693120634444853248,CitronResearch,2016-01-29 17:16:51,b'Citron places $80 price target on $MNST for full story go to https://t.co/Fn9MwJO3Xn  Longs have big risk with small reward',58
689860477132795904,CitronResearch,2016-01-20 17:22:09,b'Citron believes that $AXDX is Theranos part deux.  We reiterate our $1 price target For those who forgot the story  https://t.co/VRqdoDyOo3',18
689507129972002816,CitronResearch,2016-01-19 17:58:04,"b'Correction to Fly On Wall and others:  My tweet topic is $MBLY -- if stock is $10, it would be still overvalued at $2.1 bil. Longs warned!'",16
689493471741120513,CitronResearch,2016-01-19 17:03:48,"b'$MBLY CItron not making the $GPRO mistake, stock is still overvalued as a teenager.  At $10 it is still an EXPENSIVE $1.8 bil company'",20
679318723723849728,CitronResearch,2015-12-22 15:12:59,"b""And for those of you who haven't read Excellent research piece on $MBLY by Suhail  https://t.co/DWMY7MqF9R ...don't say your weren't warned""",23
679318146952507392,CitronResearch,2015-12-22 15:10:42,b'$MBLY customer $F teams with $Goog for autonomous car. https://t.co/Y5DRQMLfET - Analysts silent- DUH.  Short term target $25',23
677169949765332992,CitronResearch,2015-12-16 16:54:31,b'BTW...anyone notice the massive 144 filing?  Bloomberg also reporting on $TSLA alternatives to $mbly https://t.co/cZZRSjAYJV',24
677162622416891904,CitronResearch,2015-12-16 16:25:24,"b'Short of the year:  2016 $MBLY   https://t.co/vd6Gl5ffP5    2014 it was $DDD, 2015 it was $GPRO.   So obvious. Peashooter to a gunfight'",93
675044499521986560,CitronResearch,2015-12-10 20:08:45,b'$udf ponzi Can go to 0. https://t.co/eNxHsPlN6W',47
664082181958963201,CitronResearch,2015-11-10 14:08:24,b'Andrew Left from Citron Research on CNBC power lunch today with Scott Wapner at 12:00 est to discuss $MNK',25
663791443450839040,CitronResearch,2015-11-09 18:53:07,"b""At these prices $MNK has signif more downside than $VRX-- far worse offender of the reimb sys - more to follow.  VRX can't live in a vacuum""",97
660134898561224704,CitronResearch,2015-10-30 16:43:19,b'Citron beaten to the punch on $EROS fraud story.  A halt is needed on this one.  Must Read.  Kudos AlphaExposure https://t.co/q1daPgOiuV',52
660115253502615553,CitronResearch,2015-10-30 15:25:15,b'$VRX has a better chance of going to 0 than $HLF EVER will.  Citron to update full story on Monday.  Dirtier than anyone has reported!!',177
658637812468572164,CitronResearch,2015-10-26 13:34:26,b'Andrew Left of Citron Research will appear on Bloomberg TV at 12:00 EST to discuss Valeant $VRX',34
657205260428021760,CitronResearch,2015-10-22 14:41:59,b'Andrew Left of Citron Research to appear on Bloomberg TV today at 12:30 EST to discuss Valeant $VRX',62
656847009786126337,CitronResearch,2015-10-21 14:58:25,b'$VRX   Bronte did amazing work with same conclusion stock going to $50\\nhttps://t.co/wHgDG5sb0F',34
656834451482107904,CitronResearch,2015-10-21 14:08:31,b'$VRX game over....Citron publishes smoking gun',51
656484742691336192,CitronResearch,2015-10-20 14:58:54,"b'$W UPS DESTROYS  ""free shipping"" in W\'s core model -- ""oversize items"" -- ""third party arranged shipments"".   https://t.co/zpySdaRdSe'",13
656137528936824832,CitronResearch,2015-10-19 15:59:12,"b""covered $NFLX short...  Asked my kids NFLX or HBO?  ..response- what's HBO?.. much easier pickings in this frothy market.""",49
653605334020284416,CitronResearch,2015-10-12 16:17:09,"b'TWOU- Short Term Price Target- $14 Faux SaaS company -- actually for-profit education, with a terminal business model'",24
651438141782429696,CitronResearch,2015-10-06 16:45:30,"b'$AMZN Is Eviscerating retailers $W is a joke as insiders dump.  Analysts- AMZN is bigger than ""de- nile""- C U at $20 http://t.co/DxaM5C9P61'",15
649974678472159232,CitronResearch,2015-10-02 15:50:13,"b""Valeant ($VRX)- too dangerous to own. Target $125.  Citron exposes what congress will find if granted subpoena- and it's not pretty""",26
648556510763593728,CitronResearch,2015-09-28 17:54:56,b'$VRX this is not a pharma or bio problem- this is a Valeant problem.  Congress must make sure tail does not wag the dog',14
648554624828379136,CitronResearch,2015-09-28 17:47:26,b'Citron puts VRX price target $130 short term.  http://t.co/dVIjVPakNf explains why congress should get their subpoena.',19
647098949837258752,CitronResearch,2015-09-24 17:23:06,b'Trailer for The Big Short Movie...AWESOME  https://t.co/xZ9G68v2ox',31
647070461885419520,CitronResearch,2015-09-24 15:29:54,b'Citron lowers target on $MBLY to $20.  How the Volkswagen debacle has strengthned  the Citron premise.  Full Story  http://t.co/Fn9MwJO3Xn',18
641656050244935680,CitronResearch,2015-09-09 16:54:58,b'Citron Research sets short term target on $MBLY at $25....just follow the money.  Citron exposes the real Mobileye.  Worse than $amba',42
639083537979674624,CitronResearch,2015-09-02 14:32:43,b'Citron stayed away but finally time to short $NFLX. Comp heating up and doesnt have another trick like $AAPL $GOOG $AMZN.  Back to $80',37
639069138774720513,CitronResearch,2015-09-02 13:35:30,b'Citron covering $AMBA short.   Better opportunities elsewhere...has been a good one',12
638372491199578112,CitronResearch,2015-08-31 15:27:16,b'Love to see Wall Street is catching on....cant wait to see these slides https://t.co/GfzRqmdZO3',4
638372125665947648,CitronResearch,2015-08-31 15:25:49,"b'The Wayfair $W call was not tweet, it is backed up by a comprehensive report http://t.co/iDhbBkpfEH'",9
638368951043383296,CitronResearch,2015-08-31 15:13:12,b'Citron PROVES why Wayfair $W is worth less than $10 a share.  This is a must read report.  Wayfair admits their business model does not work',20
634740430429515776,CitronResearch,2015-08-21 14:54:46,b'Citron has been waiting for an opportunity to buy $XON PLEASE someone tie my hands and dont let me sell for a year',20
634738443604484097,CitronResearch,2015-08-21 14:46:52,"b'$amba  first target at $90 met, now that QCOM has entered the drone market, all longs should reconsider what they really own.  Next stop $70'",16
634428771127332864,CitronResearch,2015-08-20 18:16:20,b'Citron would rather be long AshleyMadison over $W Wayfair.  At least you can get F#$% by a hot stranger and not by wall st.',35
633635030544191488,CitronResearch,2015-08-18 13:42:18,b'$W any analyst who ever ever had a buy target higher than $40 on $\\nZU (all of you) should be banned from even commenting on Wayfair',9
633634543065395200,CitronResearch,2015-08-18 13:40:22,b'$W stay tuned for Citron top 10 reason why Wayfair is going to $10',12
633634241524334597,CitronResearch,2015-08-18 13:39:10,b'$W  Citron got beat to the punch.  Wayfair going to $10. Best short in YEARS\\nhttp://t.co/iOqvnQtMsJ',19
631144109617451009,CitronResearch,2015-08-11 16:44:16,b'$WRLD  Our research might be early sometimes but you cannot argue with accuracy..it was a long time coming.  Down with predatory lending',13
630798708376891392,CitronResearch,2015-08-10 17:51:46,b'Citron challenges @jimcramer: $AMBA under/over 119 on 3/10/2016. Loser donates $50k  to @RobinHoodNYC',32
628230459923656704,CitronResearch,2015-08-03 15:46:28,b'$YELP seems a bit overdone.  Citron long $YELP vs a core short position in $Z  Stocks should meet somewhere in the middle in the next 12 mos',15
626432924041097216,CitronResearch,2015-07-29 16:43:42,"b'@jimcramer  Nice to see that you are not arguing about your\\n flawed analyses of $AMBA calling it the ""Brains behind drones""'",5
626432699197030400,CitronResearch,2015-07-29 16:42:48,"b""@jimcramer  The video does not lie.  Your obsession on the fundamentals of MLNX were WRONG and you didn't realize it until CFO quit.""",6
626430982912999424,CitronResearch,2015-07-29 16:35:59,b'@jimcramer working on a response that will be sent to you today',3
626409327188783104,CitronResearch,2015-07-29 15:09:56,"b""$AMBA Why the stock is going back to $90 and than much lower in the company's own words.  http://t.co/dVIjVPakNf""",18
624594212768473088,CitronResearch,2015-07-24 14:57:19,b'Want to see the future of $Z?  just look at $TRUE today.  Citron lists top 10 reasons why Zillow will break $40 this year.',17
